Type,Requirement,Level
PE,'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours', High
A,'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed', High
PE,'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed', High
PE,'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle', High
O,'The lead washing process will operate within the established physical web service structure', Low
O,'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data', Low
A,'Defect reports will be available to technical units on a 24x7 basis', High
FT,'Defect reports will be available to technical units on a 24x7 basis', High
MN,'Washing parameters will be updated during scheduled maintenance hours', Medium
LF,'The product shall simulate the look of ships at sea', Low
LF,'The product shall display the grids within a circle as a view from a periscope', Low
LF,'The product shall display each type of ship in a grid using an image of the specific type of ship', Low
LF,'When the offensive player takes a shot the product shall simulate the sound of a ship at sea', Low
LF,'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target', Low
LF,'When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target', Low
LF,'When a ship is sunk the product shall simulate the sound of a sinking ship', Low
A,'The product shall be available 24 hours per day seven days per week', High
PE,'The product shall able to handle a large number of games simultaneously', High
SC,'The product shall able to handle a large number of games simultaneously', Medium
PE,'The response time shall be fast enough to maintain the flow of the game The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses', High
SE,'The product shall protect the identity of the players The product shall provide players no access to information that might reveal the identity of another player', High
US,'The product shall be intuitive and self-explanatory Nine out ten users shall be able to successfully complete a game with no training', Medium
US,'The product shall be available to players who understand English Spanish and French The product shall allow the user to select the language upon accessing the product', Medium
SE,'The product shall provide players no access to information that might reveal the identity of another player', High
PE,The system shall be easy to use by callers and supervisors Callers and supervisors must be able to accomplish any system task within 2 minutes, High
US,The system shall be easy to use by callers and supervisors Callers and supervisors must be able to accomplish any system task within 2 minutes, Medium
US,The system shall be easy to learn by callers and supervisors Callers and supervisors shall learn how to use the system within 10 minutes, Medium
PE,The system shall be responsive At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time, High
US,The system shall be responsive At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time, Medium
A,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time, High
PE,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time, High
A,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time, High
PE,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time, High
A,The system shall have high availability every day of the yearThe system must be available for use between 12:00AM and 6:00PM all days of the year, High
A,The system must be available for use between 7:00AM and 11:59PM all days of the year, High
PO,The product shall be internet browser independentThe product must run using Internet Explorer and Netscape Navigator, Medium
SE,The product shall ensure that only supervisors can advertise empty time slotsThe product must ensure that supervisors are allowed to access advertise empty time slots, High
SE,The product shall ensure that only supervisors can enter a caller's scheduleThe product must ensure that supervisors are allowed to access advertise empty time slots, High
SE,The product shall ensure that only supervisors can view schedule of all callersThe product must ensure that supervisors are allowed to access advertise empty time slots, High
LF,The interface shall have a simple look In the interface and usability survey 90% of beta testers must report that the interface is adequately simple, Low
LF,The interface shall be appealing to callers and supervisors In the interface and usability survey 80% of beta testers must report that the interface is appealing, Low
PE,The interface shall be appealing to callers and supervisors In the interface and usability survey 80% of beta testers must report that the interface is appealing, Low
MN,'The product shall provide GUI based Monitoring ServicesSystem Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support', Medium
O,'The product shall provide GUI based Monitoring ServicesSystem Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support', Low
L,'The product shall comply with City of Chicago Application Development Guide FrameworkApplication Development Framework will provide structured Graphical User Interface', High
LF,'The product shall comply with City of Chicago Application Development Guide FrameworkApplication Development Framework will provide structured Graphical User Interface', Low
US,'The product shall provide Monitoring ServicesThe product shall be easy for System Administrators and DBAs to use after two weeks of usage', Medium
FT,'The product shall provide Error Tracking ServicesThe product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time', High
MN,'The product shall provide Error Tracking ServicesThe product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time', Medium
US,'The product shall provide Error Tracking ServicesThe product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time', Medium
US,'The product shall provide PortalsThe product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)', Medium
PE,'The product shall provide Asynchronous MessagingThe product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications', Medium
US,'The product shall provide Asynchronous MessagingThe product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications', Medium
PE,'The product shall provide Multi-threading and Load BalancingThe product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic', High
SC,'The product shall provide Multi-threading and Load BalancingThe product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic', Medium
US,'The product shall provide Multi-threading and Load BalancingThe product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic', Medium
PE,'The product shall process messages within 2 secondsThe product shall have a maximum message processing time of 2 seconds', High
PE,'The product shall poll the system for messages every secondThe product shall poll the system for new messages at a maximum of every 1 second', High
FT,'The product shall provide Dynamic Change Support and Transparent resource additionThe product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day', High
SC,'The product shall provide Dynamic Change Support and Transparent resource additionThe product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day', Medium
A,'The product shall be available 99% of the time Rationale: To avoid service interruption during busiest customer service response periods The product shall be available 9999% of the time for regular business days', High
FT,'The product shall be robustThe product shall have fault avoidance based on standards adoption', High
PE,'The product shall be robustThe product shall have fault avoidance based on standards adoption', High
FT,'The product shall be robust with fault toleranceThe product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures', High
PE,'The product shall be able to process all transactionsThe product shall process minimum of 1 million transactions per year', High
SC,'The product shall be able to process all transactionsThe product shall process minimum of 1 million transactions per year', Medium
O,'The product shall be platform independentThe product shall enable access to any type of development environment and platform', Low
PO,'The product shall be platform independentThe product shall enable access to any type of development environment and platform', Medium
O,'The product shall interface CSR and DatastreamThe product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems', Low
MN,': The product shall continue to operate during upgrade change or new resource additionThe product shall be able to continue to operate with no interruption in service due to new resource additions', Medium
PO,': The product shall continue to operate during upgrade change or new resource additionThe product shall be able to continue to operate with no interruption in service due to new resource additions', Medium
MN,'The product shall be updated on a regular basisThe product will have a new major feature introduced every six months and quarterly maintenance releases every six months', Medium
MN,'The product shall operate with every platformThe product shall accommodate any new technology without any change in its architecture', Medium
PO,'The product shall operate with every platformThe product shall accommodate any new technology without any change in its architecture', Medium
SE,'The product shall have securityThe product shall provide authentication and authorization', High
SE,'The product shall information Security The product shall enable privacy by encryption WS-Security and Integrity Checking', High
SE,'The product shall have audit capabilitiesThe product shall store messages for a minimum of one year for audit and transaction tracking purposes', High
LF,'The system shall use IBM and CCR branding standards The interface must have one IBM logo and one CCR logo', Low
LF,'The system shall be displayable on any work computer a CCR user may have The system interface shall be formatted to display at 800 by 600 pixel resolution', Low
PO,'The system shall be displayable on any work computer a CCR user may have The system interface shall be formatted to display at 800 by 600 pixel resolution', Medium
LF,'The system interface will use CCR nomenclature The system must use the same nomenclature used in the existing WCS system and reports', Low
LF,The interface must summarize the data in a fashion that's appealing to CCR management Every report type must have at least one high level summary shown in the results dashboard/interface, Low
LF,'The system must use a point and click interface 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard', Low
US,'The system must use a point and click interface 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard', Medium
LF,'The interface shall be easy to use 90% of users should be able to successfully use the system to generate a report on their first use The interface should adhere to IBM usability standards', Low
US,'The interface shall be easy to use 90% of users should be able to successfully use the system to generate a report on their first use The interface should adhere to IBM usability standards', Medium
O,Reports must be easy to generate Reports must be generated within one button click and exported within one button click (after selecting the report), Low
US,Reports must be easy to generate Reports must be generated within one button click and exported within one button click (after selecting the report), Medium
US,'A user shall be able to use the system without instruction after a short amount of time After one use a user should understand and remember 90% of the system usage and navigation', Medium
L,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization All interfaces and reports will undergo usability tests by CCR users', High
LF,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization All interfaces and reports will undergo usability tests by CCR users', Low
US,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization All interfaces and reports will undergo usability tests by CCR users', Medium
A,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible The WCS system will be available 95% of the time IBM's internal intranet W3 is available, High
PO,'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system', Medium
SC,'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system', Medium
SC,'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management', Medium
US,'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management', Medium
O,'The WCS system shall be run in a Windows environment The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system', Low
PO,'The WCS system shall be run in a Windows environment The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system', Medium
LF,'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats) Brio will provide buttons in the user interface that produce/export reports in xls or 123 file formats', Low
O,'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats) Brio will provide buttons in the user interface that produce/export reports in xls or 123 file formats', Low
FT,'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users Queries must be made to external databases for data refresh once a week', High
MN,'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users Queries must be made to external databases for data refresh once a week', Medium
MN,'All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides Every change must be reflected in WCS system documentation', Medium
SE,'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees Users must be authenticated using their IBM intranet user name and password', High
SE,The WCS system shall not allow automatic logins by any user Cookies containing WCS login information about a user will not be stored on a user's computer, High
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page, High
L,'The Commissioner will be the only authorized user per league to adjust league settings', High
SE,'The Commissioner will be the only authorized user per league to adjust league settings', High
LF,'Each page shall contain a navigation menu which shows the index into which the current page is contained', Low
LF,'Each page shall contain a similar format with action items in one location and navigation buttons in a different location', Low
US,'Each page shall contain a similar format with action items in one location and navigation buttons in a different location', Medium
LF,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page', Low
PE,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page', High
US,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page', Medium
LF,"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page'", Low
US,"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page'", Medium
PE,'Users shall be able to view at least 25 NFL player statistics and points on each page', High
A,'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network', High
PE,'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network', High
A,'The application shall have a downtime of at most 10 minutes per year', High
O,'The application shall run on a web application server', Low
MN,'A primary database will be used to store cached data for active users', Medium
O,'A primary database will be used to store cached data for active users', Low
MN,'A secondary database will be used to store historical statistics and data', Medium
O,'A secondary database will be used to store historical statistics and data', Low
MN,'Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season', Medium
MN,'New System version releases shall be released at the beginning of each NFL season', Medium
A,'The RFS system should be available 24/7 especially during the budgeting period The RFS system shall be available 90% of the time all year and 98% during the budgeting period 2% of the time the system will become available within 1 hour of the time that the situation is reported', High
FT,'The RFS system should be available 24/7 especially during the budgeting period The RFS system shall be available 90% of the time all year and 98% during the budgeting period 2% of the time the system will become available within 1 hour of the time that the situation is reported', High
PE,'The RFS system should be available 24/7 especially during the budgeting period The RFS system shall be available 90% of the time all year and 98% during the budgeting period 2% of the time the system will become available within 1 hour of the time that the situation is reported', High
O,'98% of the user workstations shall meet the minimum hardware requirements prior to implementation Minimum Hard Disk Space: 400MB', Low
O,'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 50 Microsoft NET Framework 11 Microsoft Internet Explorer Web Controls', Low
O,The RFS system should be able to easily interface with the BDW environment in order to load the data Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year The data will be as of October month-end Test files (7) shall be loaded up to 5 times throughout the year from the BDW, Low
PE,The RFS system should be able to easily interface with the BDW environment in order to load the data Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year The data will be as of October month-end Test files (7) shall be loaded up to 5 times throughout the year from the BDW, High
L,'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance', High
MN,'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance', Medium
A,'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process', High
MN,'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process', Medium
SE,'Only authorized user shall access the RFS system ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it', High
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles Access to functionality within RFS system is dependent on the privileges/permission assigned to the role, High
L,'The product must comply with the intranet page standards and requirements of ENET Securities 95% of the product look & feel will be approved by the Architecture group prior to implementation The remaining 5% will be corrected and approved within one month of product release', High
LF,'The product must comply with the intranet page standards and requirements of ENET Securities 95% of the product look & feel will be approved by the Architecture group prior to implementation The remaining 5% will be corrected and approved within one month of product release', Low
LF,'The intranet pages should display appropriately in all resolutions from 800x600 and higher The display of all the pages will be correct in 95% of the resolutions prior to implementation The remaining 5% will be corrected within a week of notification of the incorrect display', Low
US,'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time', Medium
A,'The product interface should be fast The response time of the product interface should not exceed 2 seconds 90% of the time For 10% of the time the response time should not be more than 10 secondsnot be more than 10 seconds', High
PE,'The product interface should be fast The response time of the product interface should not exceed 2 seconds 90% of the time For 10% of the time the response time should not be more than 10 secondsnot be more than 10 seconds', High
PE,"The system must provide a fast and efficient parsing process, under 2 seconds", High
PE,CV parsing speed must be optimized to under 2 seconds, High
PE,System should respond in less than 1 second, High
PE,System performance can vary under load, Medium
PE,Performance is not critical for this system, Low
PE,System should process 1000 transactions per second, High
PE,The application must load the dashboard in under 2 seconds, High
PE,The response time for any API call should not exceed 500 milliseconds, High
PE,"The system must support 10,000 concurrent users without degradation", High
PE,Reports should be generated within 3 seconds after user request, High
PE,System performance must remain stable under heavy traffic conditions, High
PE,Database queries should execute in less than 200ms, High
PE,The server must maintain uptime of 999% with minimal latency, High
PE,Performance is not a primary concern for this application, Low
PE,System may take up to 30 seconds to complete background tasks, Medium
PE,Response time under load may exceed 10 seconds, Medium
PE,Batch processing may take several minutes to complete, Medium
PE,System is expected to run on a single-user mode with minimal performance requirements, Low
PE,Delays in data retrieval are acceptable for this prototype version, Low
PE,The system must be highly responsive and efficient, High
PE,Application speed is a top priority, High
PE,System should perform operations instantly, High
PE,Users should experience no lag while using the system, High
PE,Performance must be optimized for quick user interaction, High
PE,System performance may vary depending on network speed, Medium
PE,Response time might fluctuate during peak hours, Medium
PE,Performance depends on the size of the data being processed, Medium
PE,Application speed may differ across hardware configurations, Medium
PE,System performance can vary under heavy load, Medium
PE,The system might slow down when multiple background jobs are running, Medium
PE,Performance may depend on available system resources, Medium
PE,Response times may differ based on concurrent user activity, Medium
PE,System speed may vary when accessing remote servers, Medium
PE,The system can take up to 30 seconds to complete operations, Medium
PE,Delays in processing are acceptable for background tasks, Medium
PE,Batch jobs may take several minutes to complete, Medium
PE,"System performance may degrade during high traffic, which is acceptable", Medium
PE,Fast response time is not a key requirement, Low
PE,System may take noticeable time to start up, Medium
PE,Performance tuning will be addressed in future releases, Low
PE,The system can generate reports within 50 seconds, Medium
PE,Minor delays are acceptable for non-critical processes, Medium
PE,The prototype version may have reduced performance, Low
PE,The system must respond in less than 1 second for all user actions, High
PE,API calls should return results within 500 milliseconds, High
PE,Dashboard should load in under 2 seconds even under peak load, High
PE,Database queries must execute within 100ms, High
PE,"System should handle at least 10,000 concurrent requests per minute", High
PE,The parsing module should process a CV in less than 2 seconds, High
PE,The application should have minimal latency under heavy usage, High
PE,Users must experience instant feedback when performing actions, High
PE,The system shall process 1000 transactions per second, High
PE,Performance optimization is critical to meet user expectations, High
PE,System must remain responsive during high network traffic, High
PE,Processing time for any operation must not exceed 1 second, High
PE,Application must run smoothly even with large datasets, High
PE,The server should maintain a latency below 100 ms, High
PE,The API should scale efficiently without performance degradation, High
PE,Real-time analytics must be delivered within 2 seconds, High
PE,Performance should not degrade as concurrent users increase, High
PE,Application startup time should be less than 3 seconds, High
PE,System must provide a consistent response time of under 2 seconds, High
PE,The user interface must react instantly to user input, High
PE,System performance may depend on data size and hardware resources, Medium
PE,Response time may vary depending on concurrent users, Medium
PE,Performance can fluctuate based on network conditions, Medium
PE,The application may slow down during peak hours, Medium
PE,Processing time may increase with complex data, Medium
PE,System performance might change with heavy background tasks, Medium
PE,Performance depends on system configuration and environment, Medium
PE,The system may temporarily degrade under high load, Medium
PE,Response time varies depending on server workload, Medium
PE,Processing speed may differ across user devices, Medium
PE,System throughput may decrease when handling large files, Medium
PE,Performance may vary depending on database size, Medium
PE,Application speed depends on available memory and CPU, Medium
PE,Response time might fluctuate when using external APIs, Medium
PE,System latency may vary based on connection quality, Medium
PE,Performance depends on concurrent read/write operations, Medium
PE,The system may show slower response during maintenance, Medium
PE,Performance might be reduced on mobile devices, Medium
PE,Throughput may change depending on server load, Medium
PE,Performance is not a primary concern for this prototype, Low
PE,Delays in response are acceptable for background processes, Low
PE,System may take up to 30 seconds to start, Medium
PE,Response time exceeding 10 seconds is acceptable for this phase, Low
PE,The application can tolerate delays during data import, Low
PE,Speed optimization is not required for the current version, Low
PE,Minor lag is acceptable during peak usage, Low
PE,The system may take noticeable time to complete operations, Medium
PE,Performance tuning will be addressed in future updates, Low
PE,Prototype version may have reduced speed and responsiveness, Low
PE,System may take several seconds to load reports, Medium
PE,Long response times are acceptable for non-critical modules, Low
PE,Application speed is not a key requirement, Low
PE,Data refresh delays are tolerable for testing environment, Low
PE,Performance degradation is acceptable under heavy computation, Medium
PE,System may perform slower under heavy data processing, Medium
PE,Execution delays are permissible for scheduled jobs, Low
PE,Background jobs can run for several minutes without issue, Low
PE,User interaction speed is not critical for internal tools, Low
SE,System must use strong encryption and authentication, High
SE,"The system shall display a warning to the user after 30 minutes of inactivity, but no automatic logout or session termination is enforced", Medium
SE,"The system shall require users to create passwords with at least 8 characters, including uppercase, lowercase, and numeric digits Passwords must be stored using basic hashing, but no multi-factor authentication is required", Medium
SE,Basic password protection is sufficient, Low
SE,All user data must be encrypted in transit and at rest, High
SE,The system must implement multi-factor authentication for all users, High
SE,Sensitive information must be protected using strong encryption standards, High
SE,Access to the system should be role-based and audited regularly, High
SE,The application must comply with GDPR and ISO 27001 standards, High
SE,Only authorized personnel can access confidential data, High
SE,System must detect and prevent unauthorized access attempts, High
SE,Passwords must be stored using strong hashing algorithms like bcrypt, High
SE,The system should include intrusion detection and prevention mechanisms, High
SE,Security patches must be applied immediately after release, High
SE,All API endpoints must use HTTPS and JWT-based authentication, High
SE,The system must support automatic logout after inactivity, High
SE,Regular penetration testing must be performed, High
SE,The application must implement end-to-end encryption for user communication, High
SE,Security level may vary depending on user role, Medium
SE,The system uses HTTPS but not all data is encrypted at rest, Medium
SE,Authentication is required for critical features only, Medium
SE,Security updates are applied periodically, Medium
SE,Data encryption is optional based on user preferences, Low
SE,Some components rely on third-party security mechanisms, Low
SE,Access control policies depend on deployment configuration, Medium
SE,The system enforces strong passwords but lacks two-factor authentication, Medium
SE,Audit logs are maintained for admin users only, Medium
SE,Security is ensured for production environments but limited in testing, Medium
SE,Network security depends on external firewall configuration, Low
SE,Encryption is used for selected data fields only, Medium
SE,The system does not require user authentication, Low
SE,Data encryption is not mandatory, Low
SE,Security is not a critical concern for this prototype, Low
SE,Users can access the system without login, Low
SE,The system does not implement access control, Low
SE,No encryption is applied to stored data, Low
SE,Public access is allowed to all system information, Low
SE,Security patches can be applied manually when needed, Low
SE,Authentication and authorization are not enforced, Low
SE,System logs are not protected or audited, Low
SE,Communication between services is not secured, Low
SE,The system relies on users to manage their own security settings, Low
SE,Security validation is optional during deployment, Low
SE,System must automatically lock accounts after multiple failed login attempts, High
SE,Sensitive user data such as passwords and tokens must never be logged, High
SE,All database connections must use secure SSL/TLS encryption, High
SE,The system must sanitize all user inputs to prevent SQL injection, High
SE,Security configuration must be reviewed and approved before deployment, High
SE,Access logs must be encrypted and retained for 90 days, High
SE,Session management must prevent reuse of expired tokens, High
SE,Cross-site scripting and CSRF attacks must be prevented using appropriate headers, High
SE,System should block IPs after suspicious activity is detected, High
SE,Application must validate SSL certificates of external services, High
SE,The platform must include continuous monitoring for security breaches, High
SE,"All credentials must be stored securely using environment variables, not hardcoded", High
SE,The system must enforce password complexity requirements, High
SE,Administrators must receive alerts when unauthorized access attempts occur,High
SE,Security incidents must be logged and reported automatically,High
SE,Users must reauthenticate before performing critical actions,High
SE,The application must not expose stack traces or sensitive errors to end-users,High
SE,Data backup files must be encrypted before storage,High
SE,Access to encryption keys must be restricted to authorized administrators only,High
SE,Two-factor authentication is required for admin accounts but optional for users,High
SE,System may log non-sensitive user actions without encryption,Medium
SE,Security audit frequency depends on customer contract level,Medium
SE,The system may allow weaker encryption for backward compatibility,Medium
SE,"Some modules use secure authentication, while legacy ones do not",Medium
SE,Security controls differ between cloud and on-premise deployments,Medium
SE,Encryption is enabled only for paid plans,Medium
SE,Security configuration may vary by tenant in multi-tenant systems,Medium
SE,Only critical APIs require token-based authentication,Medium
SE,System allows temporary password sharing for support purposes,Medium
SE,Security scans are performed quarterly instead of monthly,Medium
SE,External dependencies may not always follow latest security practices,Medium
SE,Firewall rules are applied inconsistently across regions,Medium
SE,Encryption keys are shared between development and staging environments,Medium
SE,System does not include any authentication mechanism,Low
SE,User passwords can be stored in plain text,Low
SE,The prototype has no active security checks,Low
SE,Users are allowed to use weak passwords such as '1234',Low
SE,The system allows access over HTTP instead of HTTPS,Low
SE,No restrictions are placed on failed login attempts,Low
SE,Sensitive API keys are visible in the frontend code,Low
SE,There are no monitoring or alerting mechanisms for security incidents,Low
SE,Encryption is completely disabled for development builds,Low
SE,Access control policies are not implemented,Low
SE,Security updates are applied manually and infrequently,Low
SE,No input validation is performed on form data,Low
SE,Cross-site scripting protection is not enabled,Low
SE,User sessions never expire automatically,Low
SE,No data masking is used for sensitive fields like credit cards,Low
SE,System does not verify identity for password reset requests,Low
SE,Security awareness training is not conducted for staff,Low
SE,The application accepts self-signed certificates without validation,Low
SE,Log files may contain sensitive information without protection,Low
MN,System architecture should be modular to simplify updates,High
MN,Code should be well-documented and follow standard naming conventions,High
MN,The system must allow easy modification of existing features,High
MN,Developers should be able to add new modules with minimal code changes,High
MN,Application should support plug-and-play components for future extensions,High
MN,All modules must be independent and loosely coupled,High
MN,The system should allow configuration changes without code modification,High
MN,Maintenance tasks should require minimal downtime,High
MN,The system must support automated testing and deployment,High
MN,All code changes should be traceable through version control,High
MN,Documentation and design diagrams must be regularly updated,High
MN,System must enable quick bug fixes with minimal impact on other components,High
MN,The architecture should allow future technology upgrades easily,High
MN,Maintenance effort may vary depending on system complexity,Medium
MN,The ease of maintenance depends on the developer's experience,Medium
MN,Code maintainability may differ across modules,Medium
MN,Some components are easier to update than others,Medium
MN,System maintainability can vary based on documentation quality,Medium
MN,Maintenance time may depend on the size of the data being processed,Medium
MN,Maintainability might be affected by third-party dependencies,Medium
MN,System maintainability may differ between releases,Medium
MN,Maintenance effort can fluctuate with changes in system load,Medium
MN,System modifications require significant developer effort,Medium
MN,The codebase is complex and hard to understand,Medium
MN,Making changes in one module often breaks other components,Medium
MN,The system lacks sufficient documentation for maintenance,Medium
MN,Adding new features requires rewriting large parts of the code,Medium
MN,The application structure is tightly coupled and not modular,Medium
MN,Maintenance tasks often cause long downtime periods,Medium
MN,Bug fixing requires deep knowledge of the entire system,Medium
MN,Updating system configurations requires manual code edits,Medium
MN,Refactoring the system is difficult due to poor design,Medium
MN,The system is not easily adaptable to new requirements,Medium
MN,System should provide a modular microservices architecture to simplify maintenance,High
MN,Each service should have a clear API boundary for independent updates,High
MN,System should use dependency injection to improve maintainability,High
MN,Automated CI/CD pipelines must ensure consistent build and release processes,High
MN,The application should support configuration through environment variables,High
MN,Code reviews are mandatory for every change to maintain quality,High
MN,The codebase should follow clean architecture principles for easier maintenance,High
MN,System logs and metrics should assist in identifying maintenance issues quickly,High
MN,Every module should include unit and integration tests for safe refactoring,High
MN,System should allow rolling updates with zero downtime,High
MN,Maintenance scripts must be automated and version-controlled,High
MN,Architecture must separate business logic from presentation for flexibility,High
MN,The system must provide developer-friendly error reporting,High
MN,Documentation should be automatically generated from the source code,High
MN,System configuration must be externalized to avoid code changes during updates,High
MN,The system should support modular versioning for independent updates,High
MN,The platform must use containerization for maintainable deployments,High
MN,"System should use design patterns that encourage maintainable code (eg, MVC, Repository)",High
MN,The source control must track all code changes with commit history,High
MN,Error logs should include sufficient context for debugging issues efficiently,High
MN,Maintainability depends on the frequency of updates and release cycles,Medium
MN,Some legacy modules require more effort to maintain than modern ones,Medium
MN,Refactoring cost may differ depending on the module complexity,Medium
MN,"Ease of maintenance varies between environments (test, staging, production)",Medium
MN,System updates might occasionally require downtime during peak hours,Medium
MN,Maintenance depends on the level of technical debt accumulated over time,Medium
MN,Documentation quality varies across teams and modules,Medium
MN,The maintainability score may change after system expansion,Medium
MN,Code complexity increases slightly with new feature additions,Medium
MN,Ease of bug fixing depends on how well the logging is implemented,Medium
MN,Automated tests cover most but not all of the codebase,Medium
MN,Maintainability is moderate due to partial modularity,Medium
MN,The system is partially refactorable but lacks a clear layer separation,Medium
MN,Some configuration files still require manual editing during maintenance,Medium
MN,The maintainability depends on the responsiveness of the support team,Medium
MN,The ease of making changes varies depending on the deployment environment,Medium
MN,"The system lacks any form of automated testing, making changes risky",High
MN,"Codebase uses hard-coded values, reducing maintainability",High
MN,There is no modular separation; everything is in a single code file,High
MN,Developers find it difficult to locate specific functionality in the code,Medium
MN,No version control system is used to track changes,High
MN,The system requires full redeployment for minor updates,Medium
MN,"Documentation is missing or outdated, making maintenance difficult",High
MN,Error handling is inconsistent across modules,Medium
MN,There is heavy code duplication throughout the project,High
MN,Refactoring the system introduces frequent regressions,High
MN,"No clear architecture is followed, leading to maintenance chaos",High
MN,All configuration is embedded directly into source code,High
MN,"The code lacks comments, making it hard for new developers to contribute",Medium
MN,System maintenance requires full system restart each time,Medium
MN,Third-party libraries are outdated and hard to upgrade,Medium
